Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Afghanistan,AFG,49.5387998149725,..,..,..,..,41.8928134845624,..,..,..,34.6999786128974
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Eastern and Southern,AFE,62.9812863503773,..,..,..,..,55.8552577626782,..,..,..,50.6099185863474
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Western and Central,AFW,68.1481947722394,..,..,..,..,64.4366015657985,..,..,..,61.1987671752753
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Albania,ALB,3.97028950019676,..,..,..,..,3.45640958176196,..,..,..,3.31891338870116
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Algeria,DZA,15.964247038232,..,..,..,..,14.5461178196362,..,..,..,12.7651230191142
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Angola,AGO,67.4540851682449,..,..,..,..,62.2689352246269,..,..,..,57.1772720297183
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Antigua and Barbuda,ATG,14.3131228531582,..,..,..,..,11.6978340454717,..,..,..,9.60929467466023
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Arab World,ARB,27.1446277436636,..,..,..,..,21.2414430987165,..,..,..,19.7274637473109
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Argentina,ARG,14.8354091790285,..,..,..,..,16.1174014888282,..,..,..,17.4498078516924
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Armenia,ARM,4.29658306981706,..,..,..,..,4.72868692758724,..,..,..,7.34131032093157
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Australia,AUS,3.9758594307296,..,..,..,..,4.60786064585654,..,..,..,4.89843094909796
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Austria,AUT,2.78089123220823,..,..,..,..,2.6844875181263,..,..,..,3.60225763022282
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Azerbaijan,AZE,10.4047004436459,..,..,..,..,8.51578568007404,..,..,..,6.25682019436042
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,"Bahamas, The",BHS,10.1551406464721,..,..,..,..,9.48801419340478,..,..,..,6.93978080074773
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bahrain,BHR,5.83878010047144,..,..,..,..,5.50726835958247,..,..,..,5.02969301730191
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bangladesh,BGD,33.5660822335873,..,..,..,..,27.8444448021518,..,..,..,21.7101855375349
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Barbados,BRB,9.66393892242397,..,..,..,..,9.2109900747165,..,..,..,8.36285354803012
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Belarus,BLR,2.05301418902098,..,..,..,..,1.66626250375662,..,..,..,1.53441452312803
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Belgium,BEL,7.36711903000834,..,..,..,..,7.98064765339945,..,..,..,8.68545560805597
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Belize,BLZ,18.4093363216687,..,..,..,..,18.5306829434951,..,..,..,16.6800079649781
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Benin,BEN,60.6128028718355,..,..,..,..,57.282097333015,..,..,..,54.7126301158935
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bhutan,BTN,27.7159047432746,..,..,..,..,20.6184533871583,..,..,..,16.3597714197921
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bolivia,BOL,28.7817909315225,..,..,..,..,24.7282553310721,..,..,..,21.9755008085922
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bosnia and Herzegovina,BIH,2.33012888177843,..,..,..,..,2.01546450667276,..,..,..,1.88799935113379
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Botswana,BWA,59.2149431196259,..,..,..,..,53.3721260814799,..,..,..,52.1364281845063
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Brazil,BRA,14.217466990012,..,..,..,..,14.6235594048516,..,..,..,14.0257587170462
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Brunei Darussalam,BRN,11.1244089040751,..,..,..,..,14.0797422517461,..,..,..,10.9445065578749
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bulgaria,BGR,2.4048297667633,..,..,..,..,2.13711775001711,..,..,..,2.15838018606689
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Burkina Faso,BFA,65.3504291140362,..,..,..,..,57.8476962176554,..,..,..,52.3338381998252
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Burundi,BDI,63.247556692343,..,..,..,..,56.5747149364569,..,..,..,52.0689189061514
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Cabo Verde,CPV,24.7718556500044,..,..,..,..,18.7076985550938,..,..,..,16.7793753242354
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Cambodia,KHM,31.6891171835514,..,..,..,..,25.3908622581705,..,..,..,21.5061586538103
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Cameroon,CMR,63.6816002526921,..,..,..,..,58.1228783053332,..,..,..,54.1350394491912
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Canada,CAN,5.22471794657739,..,..,..,..,5.59374452602841,..,..,..,4.73487826142313
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Caribbean small states,CSS,14.2726950317324,..,..,..,..,12.3995893730105,..,..,..,10.7956783080594
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Central African Republic,CAF,73.0554529607823,..,..,..,..,69.1167898590642,..,..,..,65.8893116932645
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Central Europe and the Baltics,CEB,3.32385536147329,..,..,..,..,3.95830370738824,..,..,..,4.74222469529935
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Chad,TCD,72.5383530325293,..,..,..,..,70.2605825969102,..,..,..,67.8818028393383
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Chile,CHL,8.22558790714338,..,..,..,..,7.62606057397591,..,..,..,9.41292544608567
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,China,CHN,4.95412973221738,..,..,..,..,4.0733655151777,..,..,..,3.46731254453738
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Colombia,COL,11.1859719099012,..,..,..,..,10.5289291990302,..,..,..,9.95946346262364
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Comoros,COM,44.782642604179,..,..,..,..,38.9099084780851,..,..,..,35.2152596512165
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,"Congo, Dem. Rep.",COD,65.2643754796676,..,..,..,..,60.9307534299789,..,..,..,57.5103028676614
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,"Congo, Rep.",COG,57.769483509775,..,..,..,..,58.6944709734212,..,..,..,55.6854592350319
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Costa Rica,CRI,7.03761972664075,..,..,..,..,7.41076427694773,..,..,..,7.17670539586838
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Cote d'Ivoire,CIV,67.4957863312689,..,..,..,..,59.1417424477216,..,..,..,53.9401959393894
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Croatia,HRV,1.69531655601335,..,..,..,..,2.09970080806331,..,..,..,1.20669499105628
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Cuba,CUB,7.24551699243733,..,..,..,..,8.45693422803048,..,..,..,9.51348032446083
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Cyprus,CYP,3.92117233527451,..,..,..,..,4.57664598267131,..,..,..,5.90302131822346
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Czechia,CZE,4.57711774395194,..,..,..,..,5.08845384167018,..,..,..,5.82718151632374
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Denmark,DNK,6.61167669689565,..,..,..,..,6.41678756622089,..,..,..,6.8271380300265
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Djibouti,DJI,55.6393074112499,..,..,..,..,46.4619747992814,..,..,..,39.5495746126226
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Dominican Republic,DOM,24.7541149278268,..,..,..,..,19.9012897249571,..,..,..,17.6008506337531
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Early-demographic dividend,EAR,33.564670092094,..,..,..,..,26.3139011362589,..,..,..,22.19629046798
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,East Asia & Pacific,EAS,10.393267944023,..,..,..,..,9.06775870385593,..,..,..,7.95110926118827
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,East Asia & Pacific (excluding high income),EAP,10.2561294892875,..,..,..,..,8.71637686777525,..,..,..,7.62691628726513
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,10.1791540836197,..,..,..,..,8.70607921813764,..,..,..,7.56208815828313
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Ecuador,ECU,16.2307246922465,..,..,..,..,13.9230040748214,..,..,..,12.9956053635072
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,"Egypt, Arab Rep.",EGY,14.1314710864137,..,..,..,..,11.0483239474535,..,..,..,9.18637363253208
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,El Salvador,SLV,11.7629157768257,..,..,..,..,10.1872758307764,..,..,..,9.37277563577208
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Equatorial Guinea,GNQ,67.1848524064946,..,..,..,..,66.450274266381,..,..,..,61.7878538546425
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Eritrea,ERI,44.5878327104543,..,..,..,..,40.2291079948839,..,..,..,36.9849370654438
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Estonia,EST,2.04012079055247,..,..,..,..,2.7665620476669,..,..,..,3.59969813053921
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Eswatini,SWZ,64.1903749781521,..,..,..,..,58.5028978483406,..,..,..,47.8824034780573
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Ethiopia,ETH,62.9178074282546,..,..,..,..,56.03019983908,..,..,..,49.2411163721754
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Euro area,EMU,4.88665401992809,..,..,..,..,5.69539115317499,..,..,..,5.7284953256551
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Europe & Central Asia,ECS,5.10559975989242,..,..,..,..,5.45434061926971,..,..,..,5.29881263595355
