Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999]
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..
